Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,73.91999816894531,74.3499984741211,73.26000213623047,74.33000183105469,67.0306167602539,2880700
2020-01-03,73.5199966430664,74.77999877929688,73.27999877929688,74.31999969482422,67.0216064453125,4155800
2020-01-06,73.88999938964844,75.72000122070312,73.83000183105469,75.66999816894531,68.23902893066406,5897200
2020-01-07,73.0,73.12000274658203,72.16000366210938,72.76000213623047,67.71785736083984,4867700
2020-01-08,72.91999816894531,73.95999908447266,72.87000274658203,73.19000244140625,68.1180419921875,4073700
2020-01-09,73.5,73.94000244140625,73.19000244140625,73.94000244140625,68.81607055664062,2199400
2020-01-10,74.0,74.12999725341797,73.44999694824219,73.69999694824219,68.59270477294922,3650700
2020-01-13,73.69999694824219,74.93000030517578,73.69999694824219,74.91999816894531,69.72815704345703,3795900
2020-01-14,74.81999969482422,75.0,74.0199966430664,74.25,69.10457611083984,3191400
2020-01-15,74.19000244140625,75.97000122070312,74.04000091552734,75.72000122070312,70.47272491455078,4078700
2020-01-16,75.80999755859375,75.97000122070312,74.93000030517578,75.44000244140625,70.21212005615234,3180900
2020-01-17,76.04000091552734,76.98999786376953,75.9000015258789,76.30000305175781,71.01251983642578,4265000
2020-01-21,76.04000091552734,76.72000122070312,75.8499984741211,76.43000030517578,71.1335220336914,2686700
2020-01-22,76.58000183105469,77.16999816894531,76.1500015258789,76.16000366210938,70.88223266601562,2167300
2020-01-23,75.70999908447266,76.37000274658203,75.2300033569336,76.33000183105469,71.04045104980469,2190000
2020-01-24,76.51000213623047,76.86000061035156,76.29000091552734,76.75,71.43132781982422,1695100
2020-01-27,75.7699966430664,76.44000244140625,75.48999786376953,75.7699966430664,70.51924896240234,2490000
2020-01-28,76.06999969482422,76.7300033569336,75.88999938964844,76.44999694824219,71.15213012695312,4003900
2020-01-29,80.19999694824219,81.23999786376953,78.27999877929688,80.80999755859375,75.2099838256836,5230300
2020-01-30,79.73999786376953,81.87000274658203,78.94999694824219,81.7699966430664,76.10346221923828,4016700
2020-01-31,81.52999877929688,82.29000091552734,80.5,80.69000244140625,75.09831237792969,6531300
2020-02-03,81.12999725341797,82.06999969482422,80.3499984741211,80.56999969482422,74.98660278320312,2745500
2020-02-04,81.30999755859375,81.62999725341797,80.5999984741211,80.91999816894531,75.31236267089844,2166900
2020-02-05,81.5999984741211,83.0,81.37000274658203,83.0,77.24822235107422,2184500
2020-02-06,83.02999877929688,83.7699966430664,82.7300033569336,83.05999755859375,77.30406188964844,2804900
2020-02-07,83.0,83.66000366210938,82.66999816894531,83.26000213623047,77.4902114868164,2211900
2020-02-10,83.27999877929688,83.75,83.19999694824219,83.58999633789062,77.79733276367188,1512300
2020-02-11,83.5999984741211,84.05999755859375,83.33000183105469,83.66000366210938,77.86249542236328,2709400
2020-02-12,83.80000305175781,83.83000183105469,82.12000274658203,83.23999786376953,77.47159576416016,2887700
2020-02-13,83.19999694824219,83.94999694824219,82.86000061035156,83.86000061035156,78.04863739013672,1689700
2020-02-14,83.86000061035156,84.08999633789062,83.33000183105469,83.7699966430664,77.96485137939453,1709100
2020-02-18,83.77999877929688,84.19999694824219,83.01000213623047,83.4000015258789,77.62049865722656,2720000
2020-02-19,81.7300033569336,83.30000305175781,80.98999786376953,81.41999816894531,75.7777099609375,4417500
